prob,winlen,dist,time,costDel,routes
A-n61-k9.vrp,14,3718.765876,3380,3.108582607,10
A-n62-k8.vrp,1,6143.348974,7464,7.491912456,20
A-n62-k8.vrp,1,5884.004794,8583,7.979575117,21
A-n62-k8.vrp,1,5910.426444,8547,7.750231779,20
A-n62-k8.vrp,1,5714.91255,8863,8.028983313,21
A-n62-k8.vrp,1,6327.69575,7458,7.29596235,19
A-n62-k8.vrp,1,5757.416396,8806,8.243953231,22
A-n62-k8.vrp,1,5925.406566,8529,7.52397349,19
A-n62-k8.vrp,1,5908.084745,8568,7.979325942,21
A-n62-k8.vrp,1,5921.867684,7924,7.805809712,21
A-n62-k8.vrp,1,5996.622164,7609,7.060579527,18
A-n62-k8.vrp,1,5850.879377,8666,8.220672424,22
A-n62-k8.vrp,1,5872.121787,8609,8.432248634,23
A-n62-k8.vrp,1,5752.90161,8828,8.249235318,22
A-n62-k8.vrp,1,6238.162928,7172,7.874850017,22
A-n62-k8.vrp,1,5792.463931,9136,7.892112251,20
A-n62-k8.vrp,1,6034.829699,7195,7.624931889,21
A-n62-k8.vrp,1,6517.284203,7180,7.697847547,21
A-n62-k8.vrp,1,6551.65316,8101,7.059677244,17
A-n62-k8.vrp,1,6447.132338,7523,7.109023852,18
A-n62-k8.vrp,14,5104.552907,4382,3.800317449,8
A-n62-k8.vrp,14,5079.020691,4364,4.015068787,9
A-n62-k8.vrp,14,5020.900366,4386,4.011794465,9
A-n62-k8.vrp,14,5960.94306,4055,3.847790366,8
A-n63-k10.vrp,1,4871.943089,10438,7.426628049,26
A-n63-k10.vrp,1,5760.393752,6580,5.302538701,18
A-n63-k10.vrp,1,5555.750311,6327,5.926419299,22
A-n63-k10.vrp,1,5354.593176,6501,5.4106088,19
A-n63-k10.vrp,1,5518.748057,6283,6.440229102,25
A-n63-k10.vrp,1,5548.241222,6272,6.61753672,26
A-n63-k10.vrp,1,5250.952308,7446,5.95231912,21
A-n63-k10.vrp,1,5250.314377,7505,6.140865646,22
A-n63-k10.vrp,1,5230.66406,7439,6.30020139,23
A-n63-k10.vrp,1,5295.702384,7279,5.570168647,19
A-n63-k10.vrp,1,5304.066594,7157,5.545038403,19
A-n63-k10.vrp,1,5228.418587,7823,5.854425938,20
A-n63-k10.vrp,1,5139.078807,7657,5.983553885,21
A-n63-k10.vrp,1,5199.248734,8027,5.894540882,20
